start_time,close,datetime,exchange_whale_ratio,coinbase_premium_index,taker_buy_sell_ratio,netflow
1664784000000,19197.11137545,2022-10-03 08:00:00,0.74129021,0.00093773,1.13548176,601.4466306300001
1664787600000,19177.55680309,2022-10-03 09:00:00,0.59709939,-0.00093855,1.10379903,-110.94446347
1664791200000,19234.02065863,2022-10-03 10:00:00,0.84006099,0.00358765,1.13092083,381.45067893
1664794800000,19248.05748406,2022-10-03 11:00:00,0.74802674,0.01117149,0.91939528,59.54559015000001
1664798400000,19255.78821694,2022-10-03 12:00:00,0.67596174,-0.00441475,1.06253765,538.46080667
1664802000000,19179.25132059,2022-10-03 13:00:00,0.42547896,0.0085,0.98523633,-203.10802231
1664805600000,19418.86323666,2022-10-03 14:00:00,0.69025099,0.01153673,1.12650556,-32.406635840000035
1664809200000,19339.26736361,2022-10-03 15:00:00,0.65551948,0.00987799,0.97915335,-1478.97265916
1664812800000,19411.19969709,2022-10-03 16:00:00,0.58227513,0.01643515,1.22247961,-395.36526566
1664816400000,19550.59018481,2022-10-03 17:00:00,0.71534024,0.02460736,1.11041551,-217.38438573000002
1664820000000,19614.62136597,2022-10-03 18:00:00,0.62668329,0.01927426,1.21589493,-19.73633275000003
1664823600000,19543.19659405,2022-10-03 19:00:00,0.48394444,0.01576143,0.99027453,-498.11432608
1664827200000,19596.08728004,2022-10-03 20:00:00,0.43771508,0.02495862,1.07867379,53.100232439999985
1664830800000,19583.02394065,2022-10-03 21:00:00,0.65672174,0.0113022,0.93236984,-423.80654945
1664834400000,19521.46733594,2022-10-03 22:00:00,0.42954416,0.02848504,1.00403492,15.215776570000003
1664838000000,19631.55881689,2022-10-03 23:00:00,0.43789023,0.02231383,1.13477977,-13.690453379999994
1664841600000,19563.21819665,2022-10-04 00:00:00,0.57751358,0.01625567,0.99260641,-406.39440874999997
1664845200000,19507.45958416,2022-10-04 01:00:00,0.57609984,0.02091725,0.88579217,34.43042802
1664848800000,19545.30684991,2022-10-04 02:00:00,0.89001641,0.02062092,1.26809371,991.5116044000001
1664852400000,19600.39325582,2022-10-04 03:00:00,0.74218435,0.03122725,1.18274235,-161.78428599
1664856000000,19596.7229745,2022-10-04 04:00:00,0.76982072,0.02102794,0.96717618,9.80896285
1664859600000,19612.98822895,2022-10-04 05:00:00,0.7484257,0.00744476,1.12478514,-622.5887883400001
1664863200000,19846.13858114,2022-10-04 06:00:00,0.5556781,0.03442374,1.20975551,25.948171669999965
1664866800000,19971.47564886,2022-10-04 07:00:00,0.80289344,0.02413861,1.15150493,-879.6750757899999
1664870400000,19886.75996658,2022-10-04 08:00:00,0.64092999,0.02539693,1.12445732,-6.4442949299999555
1664874000000,19940.95526202,2022-10-04 09:00:00,0.68482193,0.02653185,1.12481812,-30.420757549999962
1664877600000,19963.02616006,2022-10-04 10:00:00,0.59791096,0.02630122,1.11589198,426.2213716
1664881200000,19944.00447456,2022-10-04 11:00:00,0.50903295,0.0379658,0.84717031,-543.1833550499999
1664884800000,19982.95738817,2022-10-04 12:00:00,0.57523458,0.03913982,1.09383208,-426.54760749999997
1664888400000,20104.33582364,2022-10-04 13:00:00,0.65107587,0.02204075,1.14548945,-477.60722721
1664892000000,20113.56019108,2022-10-04 14:00:00,0.48490685,0.06400336,1.14243619,-1156.8429485200002
1664895600000,20102.76519744,2022-10-04 15:00:00,0.6640439,0.03184127,0.93006653,-288.47338736
1664899200000,19997.49859494,2022-10-04 16:00:00,0.84037981,0.03811393,0.93145764,-97.64614673000005
1664902800000,20030.16693626,2022-10-04 17:00:00,0.64450684,0.02831349,1.05743407,-572.07476252
