datetime,actual_position,predicted_position,regime,close_price,daily_pnl,cumu_pnl
2025-01-23 04:00:00,Neutral,Neutral,1,101975.39386281,-0.0,-0.13980905319992293
2025-01-23 05:00:00,Neutral,Neutral,1,102440.43486587,0.0,-0.13980905319992293
2025-01-23 06:00:00,Neutral,Neutral,1,102210.28131907,-0.0,-0.13980905319992293
2025-01-23 07:00:00,Neutral,Neutral,1,102653.81985934,0.0,-0.13980905319992293
2025-01-23 08:00:00,Neutral,Neutral,1,102173.02393855,-0.0,-0.13980905319992293
2025-01-23 09:00:00,Neutral,Neutral,1,101612.367062,-0.0,-0.13980905319992293
2025-01-23 10:00:00,Neutral,Neutral,1,101649.27702851,0.0,-0.13980905319992293
2025-01-23 11:00:00,Neutral,Neutral,1,101912.42288862,0.0,-0.13980905319992293
2025-01-23 12:00:00,Neutral,Neutral,1,101585.23175336,-0.0,-0.13980905319992293
2025-01-23 13:00:00,Neutral,Neutral,1,102469.19331962,0.0,-0.13980905319992293
2025-01-23 14:00:00,Neutral,Neutral,1,105202.53951278,0.0,-0.13980905319992293
2025-01-23 15:00:00,Neutral,Neutral,1,105285.54221684,0.0,-0.13980905319992293
2025-01-23 16:00:00,Neutral,Neutral,1,105171.2971556,-0.0,-0.13980905319992293
2025-01-23 17:00:00,Neutral,Neutral,1,105954.72069551,0.0,-0.13980905319992293
2025-01-23 18:00:00,Neutral,Neutral,1,105481.68938464,-0.0,-0.13980905319992293
2025-01-23 19:00:00,Neutral,Neutral,1,103810.09336206,-0.0,-0.13980905319992293
2025-01-23 20:00:00,Neutral,Neutral,1,103327.00631458,-0.0,-0.13980905319992293
2025-01-23 21:00:00,Neutral,Neutral,1,103111.18600834,-0.0,-0.13980905319992293
2025-01-23 22:00:00,Neutral,Neutral,1,103994.51777325,0.0,-0.13980905319992293
2025-01-23 23:00:00,Neutral,Neutral,1,103929.73910276,-0.0,-0.13980905319992293
2025-01-24 00:00:00,Neutral,Neutral,1,103441.26248974,-0.0,-0.13980905319992293
2025-01-24 01:00:00,Neutral,Neutral,1,103213.33486759,-0.0,-0.13980905319992293
2025-01-24 02:00:00,Neutral,Neutral,1,103019.16653565,-0.0,-0.13980905319992293
2025-01-24 03:00:00,Neutral,Neutral,1,103894.42235854,0.0,-0.13980905319992293
2025-01-24 04:00:00,Neutral,Short,1,104616.65566371,-0.0006,-0.14040905319992292
2025-01-24 05:00:00,Neutral,Short,1,105216.12505744,-0.005730152526161714,-0.14613920572608463
2025-01-24 06:00:00,Neutral,Short,1,104996.04678912,0.0020916781358357728,-0.14404752759024886
2025-01-24 07:00:00,Neutral,Short,1,105056.86437227,-0.0005792368856720742,-0.14462676447592093
2025-01-24 08:00:00,Neutral,Short,1,105509.91918611,-0.004312472264873524,-0.14893923674079446
2025-01-24 09:00:00,Short,Short,1,105100.7091769,0.0038784032095426912,-0.14506083353125176
2025-01-24 10:00:00,Short,Short,1,105411.61561471,-0.0029581764028510094,-0.14801900993410277
2025-01-24 11:00:00,Short,Short,1,105433.78165628,-0.00021028082570162532,-0.1482292907598044
2025-01-24 12:00:00,Neutral,Short,1,105513.55026305,-0.0007565754117597745,-0.14898586617156417
2025-01-24 13:00:00,Neutral,Short,1,105126.21589482,0.0036709443219791194,-0.14531492184958505
2025-01-24 14:00:00,Neutral,Short,1,105764.5359734,-0.006071940030816458,-0.1513868618804015
2025-01-24 15:00:00,Neutral,Short,1,105886.36732566,-0.0011519111877977828,-0.1525387730681993
2025-01-24 16:00:00,Short,Short,1,105677.95771969,0.0019682383222102695,-0.15057053474598903
2025-01-24 17:00:00,Short,Long,1,106508.24239081,-0.009056744102893387,-0.15962727884888242
2025-01-24 18:00:00,Neutral,Long,1,106361.7531223,-0.001375379644070085,-0.1610026584929525
2025-01-24 19:00:00,Short,Long,1,105795.70716313,-0.005321893843918901,-0.1663245523368714
2025-01-24 20:00:00,Neutral,Long,1,104857.63940973,-0.00886678466030344,-0.17519133699717485
2025-01-24 21:00:00,Neutral,Long,1,105132.49065541,0.0026211847532253696,-0.17257015224394948
2025-01-24 22:00:00,Neutral,Long,1,104773.92376785,-0.0034106191656322338,-0.1759807714095817
2025-01-24 23:00:00,Neutral,Long,1,104851.31373129,0.0007386376367031211,-0.1752421337728786
2025-01-25 00:00:00,Neutral,Long,2,104412.69731791,-0.004183222868376024,-0.1794253566412546
2025-01-25 01:00:00,Neutral,Long,2,104718.63803331,0.002930110257265861,-0.17649524638398875
2025-01-25 02:00:00,Neutral,Long,2,104534.33053365,-0.0017600257520667961,-0.17825527213605555
2025-01-25 03:00:00,Neutral,Long,2,105189.52161744,0.006267712056366781,-0.17198756007968877
2025-01-25 04:00:00,Neutral,Long,2,104628.67503444,-0.005331772351239605,-0.17731933243092837
2025-01-25 05:00:00,Neutral,Long,2,104342.58906214,-0.0027342979561371106,-0.18005363038706548
2025-01-25 06:00:00,Neutral,Long,2,104298.71986399,-0.00042043424975657384,-0.18047406463682206
2025-01-25 07:00:00,Neutral,Long,2,104371.99027289,0.000702505351892535,-0.17977155928492952
2025-01-25 08:00:00,Neutral,Long,2,104326.14441135,-0.0004392544534230769,-0.1802108137383526
2025-01-25 09:00:00,Neutral,Long,2,104353.73088431,0.00026442530887771376,-0.17994638842947488
2025-01-25 10:00:00,Neutral,Long,2,104545.61581311,0.0018387931813643732,-0.1781075952481105
2025-01-25 11:00:00,Neutral,Long,2,104664.73384515,0.001139388114112183,-0.17696820713399833
2025-01-25 12:00:00,Neutral,Long,2,104743.07775059,0.0007485224732517448,-0.17621968466074658
2025-01-25 13:00:00,Neutral,Long,2,104700.61298722,-0.000405418327224627,-0.1766251029879712
2025-01-25 14:00:00,Neutral,Long,2,104578.79347885,-0.0011635032966317294,-0.17778860628460294
2025-01-25 15:00:00,Neutral,Long,2,104904.92473437,0.0031185218787779245,-0.17467008440582502
2025-01-25 16:00:00,Neutral,Long,2,104663.03285765,-0.0023058200302081833,-0.1769759044360332
2025-01-25 17:00:00,Neutral,Long,2,104909.56505413,0.0023554849286213653,-0.17462041950741183
2025-01-25 18:00:00,Neutral,Long,2,105000.41999755,0.0008660310751753553,-0.17375438843223648
2025-01-25 19:00:00,Neutral,Long,2,105050.34658733,0.00047548942929154236,-0.17327889900294494
2025-01-25 20:00:00,Neutral,Long,2,104946.94966066,-0.000984260690506611,-0.17426315969345155
2025-01-25 21:00:00,Neutral,Long,2,105084.95612931,0.001315011718741932,-0.17294814797470962
2025-01-25 22:00:00,Neutral,Neutral,2,105059.95455412,-0.0008379177392358711,-0.17378606571394548
2025-01-25 23:00:00,Neutral,Neutral,2,104730.58353229,-0.0,-0.17378606571394548
2025-01-26 00:00:00,Neutral,Neutral,2,104585.49542433,-0.0,-0.17378606571394548
