start_time,close,datetime,high,low,open,volume
1641841200000,41295.20625793,2022-01-10 19:00:00,41708.33036385,41229.53246424,41614.33847805,3910.89747483988
1641844800000,41713.05248563,2022-01-10 20:00:00,41790.11232508,41168.19254836,41301.29642776,4300.070560407201
1641848400000,41723.87615953,2022-01-10 21:00:00,41990.70692441,41573.65978314,41717.61802232,3798.466309119627
1641852000000,41615.16308487,2022-01-10 22:00:00,41855.07057267,41516.41930563,41720.26201948,2062.4773445113697
1641855600000,41825.76549137,2022-01-10 23:00:00,41893.39265303,41517.10380878,41611.37590999,2375.4844529248785
1641859200000,41603.32660987,2022-01-11 00:00:00,41885.6839062,41594.48861034,41825.09513469,2775.667582452354
1641862800000,41930.91714136,2022-01-11 01:00:00,42077.23942966,41556.47608636,41604.95170412,4089.450457413476
1641866400000,42186.41722509,2022-01-11 02:00:00,42399.8341094,41822.32789728,41933.71916606,5086.552023348118
1641870000000,42289.90470232,2022-01-11 03:00:00,42290.1878233,42061.82523543,42181.9049591,2464.5241057084827
1641873600000,42312.57097379,2022-01-11 04:00:00,42376.69115151,42131.54752665,42288.94805447,3292.422701907479
1641877200000,42113.28226877,2022-01-11 05:00:00,42322.47698967,42020.55822141,42312.87338946,2609.230939438476
1641880800000,42109.7215156,2022-01-11 06:00:00,42229.46464305,41982.38775351,42114.85718884,2390.07643865722
1641884400000,42210.22123406,2022-01-11 07:00:00,42284.15603727,42078.09685233,42116.12652115,2402.685001203352
1641888000000,41997.92227885,2022-01-11 08:00:00,42630.89348474,41933.56482751,42212.19727359,6671.441866183717
