start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1641758400000,2022-01-09 20:00:00,0.43920133,0.78317114,177236805.74094,0.56079867,226306610.79922
1641762000000,2022-01-09 21:00:00,0.50088541,1.00354794,102977748.49185,0.49911459,102613681.08892
1641765600000,2022-01-09 22:00:00,0.4815023,0.92864888,135675854.58889,0.5184977,146100272.57505
1641769200000,2022-01-09 23:00:00,0.47857069,0.91780549,265403567.11061,0.52142931,289171910.62601
1641772800000,2022-01-10 00:00:00,0.49116164,0.96526064,257068504.80392,0.50883836,266320301.02326
1641776400000,2022-01-10 01:00:00,0.53467223,1.14902281,146289996.38122,0.46532777,127316877.8657
1641780000000,2022-01-10 02:00:00,0.51616705,1.06682905,131370334.24959,0.48383295,123140941.65118
1641783600000,2022-01-10 03:00:00,0.48429749,0.93910244,73665095.12844,0.51570251,78442023.32358
1641787200000,2022-01-10 04:00:00,0.54600286,1.20265707,187575622.88499,0.45399714,155967672.1528
1641790800000,2022-01-10 05:00:00,0.45007991,0.81844601,93694090.39808,0.54992009,114478034.28585
1641794400000,2022-01-10 06:00:00,0.53199732,1.13673991,150546818.98007,0.46800268,132437347.38655
1641798000000,2022-01-10 07:00:00,0.53819296,1.16540656,162212196.75823,0.46180704,139189362.89819
1641801600000,2022-01-10 08:00:00,0.4438399,0.79804341,182266578.82684,0.5561601,228391810.18316
1641805200000,2022-01-10 09:00:00,0.46071932,0.85432193,120719680.00699,0.53928068,141304671.33843
1641808800000,2022-01-10 10:00:00,0.4983771,0.99352941,131945083.11211,0.5016229,132804405.96826
1641812400000,2022-01-10 11:00:00,0.48808687,0.95345642,323500183.6064,0.51191313,339292048.66721
1641816000000,2022-01-10 12:00:00,0.46460762,0.86778901,473806037.07678,0.53539238,545992204.62588
1641819600000,2022-01-10 13:00:00,0.47890824,0.91904782,535792195.25237,0.52109176,582986197.19753
1641823200000,2022-01-10 14:00:00,0.47870564,0.91830196,1965908399.22317,0.52129436,2140808240.61982
1641826800000,2022-01-10 15:00:00,0.53061942,1.13046735,749869209.4643,0.46938058,663326730.58254
1641830400000,2022-01-10 16:00:00,0.53745903,1.16197065,916267567.739,0.46254097,788546221.13421
1641834000000,2022-01-10 17:00:00,0.48291239,0.93390827,1111803542.31869,0.51708761,1190484733.40848
1641837600000,2022-01-10 18:00:00,0.54793989,1.2120952,414639162.15214,0.45206011,342084648.97623
1641841200000,2022-01-10 19:00:00,0.44672155,0.80740819,228303806.79697,0.55327845,282761322.36136
1641844800000,2022-01-10 20:00:00,0.5277879,1.11769246,267374089.30641,0.4722121,239219731.0984
1641848400000,2022-01-10 21:00:00,0.50904077,1.03682901,239862700.36108,0.49095923,231342581.48408
1641852000000,2022-01-10 22:00:00,0.48347926,0.93603068,125015643.36743,0.51652074,133559344.17919
1641855600000,2022-01-10 23:00:00,0.55521184,1.24826131,161383943.98421,0.44478816,129286987.67818
1641859200000,2022-01-11 00:00:00,0.47058829,0.88888908,119272614.10884,0.52941171,134181661.4465
1641862800000,2022-01-11 01:00:00,0.54641836,1.20467477,233144788.58736,0.45358164,193533386.36253
